,ticker,activity_domain,market_cap,net_revenue,net_income,earnings_per_share,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity,dividend_payout_ratio,year_over_year_revenue_growth,price_to_free_cash_flow,stock_price,debt_to_equity_ratio,return_on_assets,return_on_investments,revenue_per_employee,price_to_earnings_growth,price_to_book_ratio
140,DE,Industrials,124325134336,"[51282000000.0, 43033000000.0, 34722000000.0, 38379000000.0]","[7131000000.0, 5963000000.0, 2751000000.0, 3253000000.0]","[29.74, 23.42, 19.14, 8.77, 10.28]",32.08,14.258239,13.218204,1.078681909885676,580750016,[-1],0.1584,"[-16.085566085566086, -19.313085306625148, 10.5322274062554, 55.454806347221144]",214.02636772376775,423.94,"[2.561395716118843, 2.6266616027345235, 3.555538378294813, 3.9721370367125206]","[0.07920693102299234, 0.07089188482297834, 0.03663554886737425, 0.044554930079029186]","[60.94871794871795, 34.074285714285715, 14.253886010362693, 15.130232558139534]","[623868.6131386862, 523515.81508515816, 422408.7591240876, 466897.8102189781]",0.97,5.551497
141,XRAY,Healthcare,8348260864,"[3922000000.0, 4251000000.0, 3342000000.0, 4029200000.0]","[-950000000.0, 421000000.0, -83000000.0, 262900000.0]","[-4.81, -4.41, 1.88, -0.33, 1.15]",2.3,-1.0,17.08261,-0.4781704781704782,268624992,[-1],-1.0,"[8.388577256501785, -21.383203952011293, 20.56253740275284, -2.3131142658592276]",31.069841185886386,39.28,"[0.5490556138509969, 0.4441800515566131, 0.48430583501006036, 0.30518754048165814]","[-0.12429674211696978, 0.04566160520607375, -0.008884607150503104, 0.03055946250682909]",[-1],"[261466.66666666666, 283400.0, 222800.0, 268613.3333333333]",5.14,2.2488694
142,DXCM,Healthcare,46644240384,"[2909800000.0, 2448500000.0, 1926700000.0, 1476000000.0]","[341200000.0, 154700000.0, 493600000.0, 101100000.0]","[0.72, 0.88, 0.56, 1.3075, 0.2775]",1.6,167.125,75.20625,2.2222222222222223,438350016,[-1],0.0,"[-15.853323252457214, -21.311006738819685, -23.392328852442, 116.63956639566395]",107.94735894340653,122.07,"[0.9782343559433343, 0.8091494559182767, 1.00711743772242, 1.298096532970768]","[0.06328245265871618, 0.031807714450201495, 0.11504486656566834, 0.04221294363256785]",[-1],"[387973.3333333333, 326466.6666666667, 256893.33333333334, 196800.0]",2.73,22.119486
143,FANG,Energy,26905137152,"[9566000000.0, 6792000000.0, 2806000000.0, 3955000000.0]","[4386000000.0, 2182000000.0, -4517000000.0, 240000000.0]","[24.14, 24.61, 12.24, -28.59, 1.47]",19.39,6.1545157,7.6621976,0.8032311516155758,610750016,[-1],0.472,"[-28.998536483378633, -58.686690223792695, 40.94796863863151, 95.70164996207332]",44.00517369777686,148.41,"[0.4162835631954161, 0.55319324950364, 0.6612463042983853, 0.40538908596875234]","[0.16734709450951962, 0.09529216525460739, -0.2563709631647653, 0.010199311546470613]","[7.749116607773852, 3.5595432300163132, -8.47467166979362, 0.5010438413361169]","[9841563.786008231, 6987654.320987654, 2886831.2757201646, 4068930.0411522635]",-12.1,1.7118924
144,DLR,Real Estate,34949988352,"[4691834000.0, 4427883000.0, 3903609000.0, 3209241000.0]","[377872000.0, 1709259000.0, 356402000.0, 579761000.0]","[1.1, 1.18, 5.95, 1.01, 2.37]",1.32,109.05454,90.878784,1.2,-1,[-1],3.8425,"[-5.625753170295454, -11.840285752807832, -17.787847092267693, 59.22060075887102]",-1.0,120.85,"[1.0275552406614126, 0.8309222970526147, 0.8338233236520525, 1.0948117642200186]","[0.009108642116844262, 0.04699696669412553, 0.009879119779802197, 0.025132551917621763]","[0.1897494559175184, 0.9455492620688625, 0.3104119816262222, 0.45043659860975255]","[1375097.8898007034, 1297738.2766705744, 1144082.3563892145, 940574.7362250879]",5.98,2.1253676
145,DFS,Financial Services,25589999616,"[13337000000.0, 12087000000.0, 11088000000.0, 11459000000.0]","[4392000000.0, 5449000000.0, 1141000000.0, 2957000000.0]","[14.41, 15.52, 17.85, 3.6, 9.09]",13.03,7.1034007,7.8557177,0.9042331714087439,-1,[-1],0.1728,"[-9.372422583789458, -8.265078183172003, 3.345959595959596, -5.838209128196178]",-1.0,102.59,"[1.3782042494859492, 1.508576968973747, 1.951580301359794, 2.1672147735896785]","[0.03336676087154709, 0.049427622866058306, 0.010107273516463074, 0.02593950664935612]","[0.3597640891218873, 0.7890240370692152, 0.09418854218259864, 0.2790939122227466]","[660247.5247524752, 598366.3366336634, 548910.8910891089, 567277.2277227723]",1.16,1.9987894
146,DIS,Communication Services,157696000000,"[82722000000.0, 67418000000.0, 65388000000.0, 69570000000.0]","[3145000000.0, 1995000000.0, -2864000000.0, 11054000000.0]","[2.23, 1.73, 1.1, -1.58, 6.68]",4.55,38.699554,18.967033,2.0403587443946187,5236874752,[-1],0.0,"[-18.500519813350742, -3.0110652941350975, 6.395668930078914, 25.02659366968521]",29.82998098334508,85.49,"[0.5091044964634557, 0.6143891228981514, 0.701434502231315, 0.5286632087041642]","[0.015444603228388604, 0.00979819163200055, -0.01420994398384512, 0.05698408116133289]","[0.9773151025481666, 0.5069885641677255, -0.7337945170381758, 3.4286600496277915]","[482062.93706293707, 392878.7878787879, 381048.9510489511, 405419.5804195804]",1.29,1.6111869
147,DG,Consumer Defensive,36798840832,"[37844863000.0, 34220449000.0, 33746839000.0, 27753973000.0]","[2415989000.0, 2399232000.0, 2655050000.0, 1712555000.0]","[10.6, 10.73, 10.24, 10.7, 6.68]",11.01,15.827358,15.237966,1.038679245283019,-546405504,[-1],0.21110001,"[-9.577030309239063, -1.3839970363918954, -17.758303229526177, 38.4895193491757]",-67.77664723025923,168.84,"[3.186904657932517, 2.275050758657078, 2.0402276573814055, 1.745092279000373]","[0.08307115885172442, 0.09113070955698539, 0.10265973011864535, 0.07502951577308543]",[-1],"[222616.8411764706, 201296.7588235294, 198510.81764705884, 163258.66470588234]",3.19,6.1999264
148,DLTR,Consumer Defensive,33104031744,"[28331700000.0, 26321200000.0, 25509300000.0, 23610800000.0]","[1615400000.0, 1327900000.0, 1341900000.0, 827000000.0]","[6.18, 7.24, 5.83, 5.68, 3.49]",7.28,24.305826,20.633242,1.1779935275080906,180850000,[-1],0.0,"[-7.096291433270858, -3.084585809157637, -7.442383758080387, 21.778593253934638]",183.48558609588056,150.57,"[1.1571159229846313, 1.2917406231780786, 1.3231987701261445, 1.6037283366374624]","[0.07016736092710917, 0.06113213453765342, 0.06483861615771164, 0.042248628324461295]",[-1],"[435704.7289504037, 404785.8515955402, 392299.88465974625, 363103.4217608612]",2.97,3.7241535
149,D,Utilities,41136656384,"[17174000000.0, 13964000000.0, 14172000000.0, 16572000000.0]","[994000000.0, 3288000000.0, -401000000.0, 1448000000.0]","[1.44, 1.09, 4.059259, -0.497519, 1.727924]",3.64,34.17361,13.51923,2.527777777777778,-1,[-1],1.8542,"[-18.691044602305812, 1.4895445431108565, 16.93480101608806, 10.698774800868936]",-1.0,50.74,"[1.6383200028693374, 1.4860480445290758, 1.417237814450358, 1.1845033443770707]","[0.009535412449756819, 0.033015362988251834, -0.004181220999947865, 0.013946813326526877]","[0.10620792819745699, 0.2915927633912735, -0.03916780621215081, 0.1762200316417184]","[998488.3720930233, 811860.4651162791, 823953.4883720931, 963488.3720930233]",1.5,1.5481659
150,DPZ,Consumer Cyclical,13874881536,"[4537158000.0, 4357373000.0, 4117411000.0, 3618774000.0]","[452263000.0, 510467000.0, 491296000.0, 400709000.0]","[13.24, 12.66, 14.039114, 12.469471, 10.292005]",15.67,29.861027,25.230375,1.1835347432024168,386723744,[-1],0.34919998,"[-3.9625025180961297, -5.507033710448933, -12.110449989082946, 24.623758212035344]",36.4225069355969,401.36,"[-1.253824898873615, -1.2571105223948673, -1.3201416189831248, -1.2736548450871388]","[0.2822725454228849, 0.30533683132593537, 0.3134928737697554, 0.2899293245312179]","[3.59395263827082, 4.056476478067387, 37.07614519658894, 33.44258053747288]","[698024.3076923077, 670365.0769230769, 633447.8461538461, 556734.4615384615]",2.4,-1.0
151,DOV,Industrials,19900588032,"[8508088000.0, 7907081000.0, 6683760000.0, 7136397000.0]","[1065376000.0, 1123818000.0, 683451000.0, 677918000.0]","[7.48, 7.47, 7.81, 4.74, 4.67]",9.78,19.020054,14.547035,1.3074866310160427,706290624,[-1],0.2802,"[-7.063949032967219, -15.471208654622357, 6.772191102014435, 18.77955870448351]",28.257684122506486,142.71,"[0.858136006118003, 0.745768019691001, 0.9182036125871403, 1.0124497965482449]","[0.09777214172709651, 0.10802175049143918, 0.07467717153510778, 0.07819595115137856]",[-1],"[340323.52, 316283.24, 267350.4, 285455.88]",1.67,4.268399
152,DOW,Basic Materials,38555738112,"[56902000000.0, 54968000000.0, 38542000000.0, 42951000000.0]","[4582000000.0, 6311000000.0, 1225000000.0, -1359000000.0]","[4.0, 6.32, 8.44, 1.64, -1.84]",3.92,13.6275,13.905612,0.98,2972124928,[-1],1.1429,"[-3.398826051808372, -29.882840925629456, 11.439468631622645, 14.653907196572838]",13.06526302894358,54.9,"[0.8063519644753354, 0.8882466281310212, 1.5314837153196623, 1.4146665682002806]","[0.07560681814431629, 0.100190506429592, 0.01992842036765902, -0.02245390258409887]","[1.0456412596987676, 1.2048491790759832, 0.2986348122866894, -0.3404308617234469]","[1505343.9153439153, 1454179.8941798941, 1019629.6296296297, 1136269.8412698412]",-3.02,1.9165319
153,DTE,Utilities,22235037696,"[19228000000.0, 14964000000.0, 12177000000.0, 12669000000.0]","[1083000000.0, 907000000.0, 1368000000.0, 1169000000.0]","[5.65, 5.53, 4.68, 7.09, 6.32]",6.69,19.093805,16.12556,1.1840707964601769,-1450125056,[-1],0.582,"[-22.175993343041398, -18.62469927826784, 4.040404040404041, 27.79224980661457]",-15.560597584874778,109.48,"[1.8505338078291815, 2.096611143021252, 1.5816498993963783, 1.5087388622344071]","[0.025373099360401098, 0.022835418817190766, 0.03006857745735889, 0.02791175206532639]","[3.2818181818181817, 2.3805774278215224, 0.34906863995917325, 0.30860612460401265]","[1903385.468224114, 1481290.833498317, 1205404.8703227083, 1254108.0974064542]",2.38,2.12216
154,DUK,Utilities,68942528512,"[28768000000.0, 25097000000.0, 23868000000.0, 25079000000.0]","[2669000000.0, 3908000000.0, 1377000000.0, 3748000000.0]","[4.88, 3.17, 4.94, 1.72, 5.06]",5.98,18.331966,14.959866,1.2254098360655739,-4588125184,[-1],0.8197,"[-12.760706340378198, -4.896999641391401, 5.073738897268309, 13.975834315562821]",-15.179146457186116,90.37,"[1.5380554600432839, 1.3837431028886724, 1.3359186056208823, 1.3389645892956303]","[0.014972428068955072, 0.023044219191329523, 0.008479690617533316, 0.02359636862715471]","[0.2935547734271887, 0.3436812945211503, 0.13667493796526053, 0.3719730051607781]","[1032628.5939911698, 900857.8915251804, 856742.8838077461, 900211.780753078]",2.8,1.4582858
155,DD,Basic Materials,35358076928,"[13017000000.0, 12566000000.0, 20397000000.0, 21512000000.0]","[5798000000.0, 1177000000.0, -2951000000.0, 498000000.0]","[2.18, 11.77, 11.92, -4.01, 0.67]",4.94,35.33486,15.593117,2.2660550458715596,6378500096,[-1],0.67980003,"[-3.4647000076822616, 62.31895591278052, 5.466490170123057, -41.73949334325028]",5.550518156323627,77.13,"[0.3046907430469074, 0.4078992168879809, 0.5664606274672761, 0.4256715543952961]","[0.14004830917874397, 0.025750979062288053, -0.041619654744443194, 0.007176206121390282]","[7.909959072305593, 1.199796126401631, -2.724838411819021, 0.40553745928338764]","[565956.5217391305, 546347.8260869565, 886826.0869565217, 935304.3478260869]",1.25,1.3535407
156,DXC,Technology,4071091200,"[14430000000.0, 16265000000.0, 17729000000.0, 19577000000.0]","[-568000000.0, 718000000.0, -149000000.0, -5369000000.0]","[-2.46, -2.48, 2.87, -0.59, -20.76]",4.06,-1.0,4.7586207,-1.6504065040650404,31125000,[-1],0.0,"[12.716562716562715, 9.000922225637872, 10.423599751819053, -27.62425327680441]",129.30869245943776,19.1,"[1.4044502617801047, 1.1475348837209303, 1.3127354935945743, 2.240787677909924]","[-0.03584727043231303, 0.03565221709121605, -0.006761049097014248, -0.2064523571483504]",[-1],"[111000.0, 125115.38461538461, 136376.92307692306, 150592.3076923077]",1.24,1.1266619
157,EMN,Basic Materials,10060003328,"[10580000000.0, 10476000000.0, 8473000000.0, 9273000000.0]","[793000000.0, 857000000.0, 478000000.0, 759000000.0]","[5.67, 6.42, 6.35, 3.53, 5.52]",8.31,14.890653,10.160048,1.4656084656084658,354124992,[-1],0.5287,"[-0.9829867674858223, -19.119893088965252, 9.441756166646996, 5.877282260325677]",28.05140124083646,83.37,"[0.9996118765767514, 0.90445301542777, 0.9327577619126681, 0.9704598858677409]","[0.05406695302379491, 0.055222630324118824, 0.029720823229496984, 0.04741379310344827]",[-1],"[729655.1724137932, 722482.7586206896, 584344.8275862068, 639517.2413793104]",1.66,1.8945786
158,ETN,Industrials,86057738240,"[20752000000.0, 19628000000.0, 17858000000.0, 21390000000.0]","[2462000000.0, 2144000000.0, 1410000000.0, 2211000000.0]","[6.39, 6.17, 5.38, 3.51, 5.28]",9.65,33.787167,22.373056,1.510172143974961,2224124928,[-1],0.4934,"[-5.4163454124903625, -9.017729773792542, 19.778250643969088, 3.0715314446002804]",38.745327793961046,216.24,"[0.5349219391947412, 0.5432279290806068, 0.5615539182853315, 0.5380549682875264]","[0.07028462131376859, 0.06300878713962442, 0.04430618401206637, 0.06739826245999085]",[-1],"[225565.21739130435, 213347.8260869565, 194108.69565217392, 232500.0]",2.04,4.7983108
159,EBAY,Consumer Cyclical,23020427264,"[9795000000.0, 10420000000.0, 10271000000.0, 10479000000.0]","[-1269000000.0, 13608000000.0, 5667000000.0, 1786000000.0]","[2.37, -2.27, 20.87, 7.98, 2.1]",4.48,18.164558,9.609375,1.890295358649789,2764875008,[-1],0.3966,"[6.38080653394589, -1.4299424184261036, 2.0251192678414953, -5.143623017463499]",8.434334338313786,43.61,"[1.8026392392780903, 0.9492738801390878, 2.2867172142656558, 3.039881831610044]","[-0.060863309352517984, 0.5110793960790205, 0.2934748834800621, 0.1007502679528403]","[-0.7061769616026711, 1.7082601054481548, 6.8031212484994, 1.3685823754789272]","[844396.551724138, 898275.8620689656, 885431.0344827586, 903362.0689655172]",1.26,4.355524
160,ECL,Basic Materials,51970121728,"[14187800000.0, 12733100000.0, 11790200000.0, 12562000000.0]","[1091700000.0, 1129900000.0, -1205100000.0, 1558900000.0]","[4.02, 3.83, 3.95, -4.2, 5.41]",5.97,45.40547,30.574541,1.4850746268656718,1381787520,[-1],0.5109,"[-10.253175263254345, -7.405109517713675, 6.5461145697274, 17.530647476516478]",37.396496994038564,181.49,"[1.2324594740260637, 1.2514603693142494, 1.1330738668612665, 0.7854305550758177]","[0.05086119743015146, 0.053281084955485135, -0.06648460774577954, 0.07469895683091268]",[-1],"[301868.08510638296, 270917.02127659577, 250855.31914893616, 267276.59574468085]",2.64,6.884807
161,EIX,Utilities,26517743616,"[17220000000.0, 14905000000.0, 13578000000.0, 12347000000.0]","[824000000.0, 925000000.0, 871000000.0, 1405000000.0]","[2.19, 1.61, 2.0, 1.98, 3.78]",5.08,31.616436,13.629921,2.319634703196347,-3584000000,[-1],1.1744,"[-13.443670150987225, -8.903052666890305, -9.066136397112977, 39.0945137766259]",-7.516468968392858,70.34,"[2.118686383714231, 1.8588242698892246, 1.7188923690205011, 1.472299481320003]","[0.010558552555707897, 0.012375409726403105, 0.012555497895404485, 0.021822869746202355]","[0.20584561578815888, 0.18796992481203006, 0.17826442898076136, 0.30371811500216167]","[1286226.4714669853, 1113310.4272482821, 1014191.813564386, 922243.8004182851]",3.29,1.9208255
162,EW,Healthcare,48841949184,"[5382400000.0, 5232500000.0, 4386300000.0, 4348000000.0]","[1521900000.0, 1503100000.0, 823400000.0, 1046900000.0]","[2.38, 2.46, 2.41, 1.32, 1.68]",2.88,33.42437,27.621529,1.2100840336134453,808524992,[-1],0.0,"[-2.7850029726516055, -16.172001911132348, -0.8731732895606775, 30.108090524379026]",59.98260931926765,80.0,"[0.11905212943668521, 0.11828509741428057, 0.15191395404761385, 0.1636332955668587]","[0.1835272836900814, 0.1767812198621598, 0.113774854568819, 0.1613569457930673]","[1.2283292978208233, 0.8194853342056483, 1.0271956087824352, 1.7880444064901793]","[311121.387283237, 302456.64739884395, 253543.35260115608, 251329.4797687861]",3.24,7.5848594
163,EA,Communication Services,33358821376,"[7426000000.0, 6991000000.0, 5629000000.0, 5537000000.0]","[802000000.0, 789000000.0, 837000000.0, 3039000000.0]","[2.87, 2.9, 2.78, 2.9, 10.37]",7.69,42.714287,15.941482,2.6794425087108014,1893750016,[-1],0.2346,"[-5.857796929706437, -19.482191388928623, -1.6343933203055605, 36.95141889109626]",17.793397668470305,123.83,"[0.2577814342520225, 0.24629508196721311, 0.2392857142857143, 0.1334941696823482]","[0.05958837952299576, 0.05717391304347826, 0.06298916315472607, 0.273488120950324]",[-1],"[554179.104477612, 521716.41791044775, 420074.62686567166, 413208.9552238806]",2.86,4.546601
164,ELV,Healthcare,109147439104,"[156595000000.0, 138639000000.0, 121867000000.0, 104213000000.0]","[6025000000.0, 6104000000.0, 4572000000.0, 4807000000.0]","[26.84, 25.1, 25.04, 18.23, 18.81]",37.04,17.257078,12.504859,1.3800298062593144,7991000064,[-1],0.20549999,"[-11.46652191960152, -12.097606012738119, -14.48628422788778, 59.01663014019364]",13.801228832026199,468.01,"[0.6641694439088881, 0.638685524126456, 0.6034820325913431, 0.6330370650529501]","[0.0586249172926478, 0.0627293000503561, 0.052785314321999656, 0.06206344492789175]","[0.217847199623965, 0.21209173036831133, 0.1789152383188542, 0.22639287900908964]","[1530742.9130009776, 1355219.9413489737, 1191270.7722385142, 1018699.9022482893]",1.12,2.859471
165,LLY,Healthcare,426688708608,"[28541400000.0, 28318400000.0, 24539800000.0, 22319500000.0]","[6244800000.0, 5581700000.0, 6193700000.0, 8318400000.0]","[6.3, 6.93, 6.15, 6.82, 8.93]",10.74,71.34762,41.851955,1.704761904761905,5214524928,[-1],0.6471,"[-0.7813211685481442, -13.343267981241876, -9.047751000415651, 24.068187764062817]",81.7668871751609,449.16,"[1.5247798080715131, 1.8804236457590877, 2.9415945830969936, 6.062334573631516]","[0.12618357722197301, 0.11436503708560423, 0.13281767671460828, 0.21173901201697293]","[2.15204355917017, 1.7374400796862355, 2.087670217068896, 4.23889115368936]","[731830.7692307692, 726112.8205128205, 629225.641025641, 572294.8717948718]",2.81,36.12102
166,EMR,Industrials,54606831616,"[19629000000.0, 18236000000.0, 16785000000.0, 18372000000.0]","[3231000000.0, 2303000000.0, 1965000000.0, 2306000000.0]","[4.93, 5.44, 3.85, 3.26, 3.74]",4.76,19.38134,20.073528,0.9655172413793104,4857999872,[-1],0.41990003,"[-7.096642722502419, -7.956788769466988, 9.454870420017873, 13.172221380361421]",11.280596853107534,95.89,"[1.0009648784253184, 0.6716718734253754, 0.8862317982715757, 0.6915266529674846]","[0.09057524108544517, 0.09318227796884483, 0.08587536054540687, 0.11250426891740255]",[-1],"[229578.94736842104, 213286.54970760233, 196315.7894736842, 214877.19298245615]",2.21,2.7613213
167,ENPH,Technology,19186159616,"[2330853000.0, 1382049000.0, 774425000.0, 624333000.0]","[397362000.0, 145449000.0, 133995000.0, 161148000.0]","[3.33, 2.94, 1.09, 1.07, 1.38]",6.62,42.04204,21.148037,1.987987987987988,587812608,[-1],0.0,"[-40.70629936765639, -43.96544550880613, -19.38108919520935, 347.9178489684191]",32.72385719225676,140.36,"[1.562983527804325, 2.412187796395827, 0.6836152588983725, 0.3877235390063627]","[0.12883460645596378, 0.06995242529058471, 0.11165300949419299, 0.22594335852881917]",[-1],"[826250.6203473945, 489914.56930166605, 274521.44629563985, 221316.19992910317]",1.08,19.517635
168,ETR,Utilities,20645685248,"[13764237000.0, 11742896000.0, 10113636000.0, 10878673000.0]","[1097138000.0, 1118719000.0, 1406653000.0, 1258244000.0]","[5.48, 5.4, 5.57, 6.94, 6.36]",7.19,17.817518,13.579972,1.3120437956204378,-1292917504,[-1],0.7591,"[-14.685456229793195, -13.874430975118916, 7.564411058495679, 22.42486119400776]",-16.07296048042366,98.28,"[2.063715659422757, 2.327182012572693, 2.1963164125086423, 1.9386748894110972]","[0.01872402805206318, 0.01881647065654289, 0.02415302253746153, 0.02432615692332011]","[0.26617520616885953, 0.20208001416179855, 0.19393510326110558, 0.19647690594828568]","[1147019.75, 978574.6666666666, 842803.0, 906556.0833333334]",2.22,1.5597445
169,EOG,Energy,75914698752,"[29492000000.0, 19669000000.0, 9873240000.0, 16941727000.0]","[7759000000.0, 4664000000.0, -604572000.0, 2734910000.0]","[16.0, 13.31, 8.03, -1.04, 4.73]",12.44,8.1125,10.434084,0.7775,4961874944,[-1],0.19219999,"[-33.30733758307338, -49.8030403172505, 71.59237494480028, 76.11546157012211]",15.522374834668948,131.69,"[0.21687719439848258, 0.24116321009918845, 0.30103083521251006, 0.2562210973056529]","[0.18754683232215805, 0.12197928653624857, -0.016885315940261422, 0.07366838728640583]",[-1],"[10348070.175438596, 6901403.50877193, 3464294.736842105, 5944465.614035088]",-12.3,2.8781765
170,EPAM,Technology,14300921856,"[4824698000.0, 3758144000.0, 2659478000.0, 2293798000.0]","[419416000.0, 481652000.0, 327160000.0, 261057000.0]","[7.17, 7.32, 8.52, 5.87, 4.77]",11.03,34.44491,22.390753,1.5383542538354253,514670880,[-1],0.0,"[-22.106129751540927, -29.23427095928203, -13.75006674242088, 110.97630392911668]",27.567142734012855,245.02,"[0.06437479260590925, 0.09615872514240384, 0.134341191053233, 0.165062697937844]","[0.10461466779375483, 0.13670762627557068, 0.12022053905954878, 0.11632477916485459]",[-1],"[81360.84317032041, 63375.109612141656, 44847.85834738617, 38681.2478920742]",3.89,4.386834
171,EFX,Industrials,24940128256,"[5122200000.0, 4923900000.0, 4127500000.0, 3507600000.0]","[696200000.0, 744200000.0, 520100000.0, -398800000.0]","[4.25, 5.69, 6.11, 4.28, -3.3]",8.83,46.52,22.390715,2.0776470588235294,340962496,[-1],0.3662,"[-3.8713833899496306, -16.174170880805868, -15.01877649909146, 44.30949754818109]",70.93271923959638,197.11,"[1.462732212814356, 1.477206784957036, 1.3818962252240878, 1.311797099201117]","[0.06028801773482625, 0.06740392540463187, 0.054110572421398696, -0.05042356808698951]",[-1],"[365871.4285714286, 351707.14285714284, 294821.4285714286, 250542.85714285713]",2.26,5.788102
172,EQIX,Real Estate,70879436800,"[7263105000.0, 6635537000.0, 5998545000.0, 5562140000.0]","[704345000.0, 500191000.0, 369777000.0, 507450000.0]","[8.78, 7.69, 5.57, 4.22, 6.03]",10.33,86.31891,73.36689,1.1765375854214124,2749077248,[-1],1.4410001,"[-8.640491910828771, -9.599705344119098, -7.27518089803444, 29.234485431866155]",25.835382217793537,759.42,"[1.43139254887421, 1.3777258800292076, 1.309324309939037, 1.5029871255432037]","[0.023237471388856134, 0.017915985910231202, 0.01367577108796934, 0.021174086289878227]","[2.023136911344411, 2.0411876808311806, 2.2675828320179554, 8.494735256206372]","[575477.775136677, 525753.664527375, 475282.8618968386, 440705.1739164884]",4.38,5.895513
173,EQR,Real Estate,24780386304,"[2735180000.0, 2463997000.0, 2571705000.0, 2701075000.0]","[776911000.0, 1332850000.0, 913636000.0, 970377000.0]","[2.36, 2.06, 3.56, 2.45, 2.61]",1.63,27.711866,40.1227,0.6906779661016949,1284729728,[-1],1.21,"[-9.914630846964368, 4.371271555931278, 5.0305147752172195, 4.299181029775182]",19.3002015412848,65.44,"[0.6922192889762946, 0.7899433205890161, 0.795521911186301, 0.9081755175170273]","[0.03842620102558766, 0.06296163381578017, 0.045035781973689314, 0.045831369529417715]","[2.784387722919892, 10.4579907099366, 17.309613125686788, 18.57607488801256]","[1139658.3333333333, 1026665.4166666666, 1071543.75, 1125447.9166666667]",2.51,2.2562616
174,ESS,Real Estate,16206654464,"[1606814000.0, 1440556000.0, 1495748000.0, 1460155000.0]","[408315000.0, 488554000.0, 568870000.0, 439286000.0]","[7.52, 6.27, 7.51, 8.69, 6.67]",5.84,32.43617,41.76712,0.7765957446808511,787082112,[-1],1.0987,"[-10.3470594605225, 3.8312984708681928, -2.3796120736915576, 15.724840718964767]",19.910529070694977,244.17,"[1.0543190681082337, 1.0608118355520044, 1.0541899636858147, 0.9461750776916118]","[0.0330007383068083, 0.037587226771641793, 0.04397512495384069, 0.03457473413873859]","[0.36214479760814056, 0.414801469177332, 0.5588059056394338, 0.3289696474078867]","[907804.5197740113, 813873.4463276836, 845055.3672316384, 824946.3276836158]",4.68,2.8030014
175,EL,Consumer Defensive,60996104192,"[17737000000.0, 16215000000.0, 14294000000.0]","[2390000000.0, 2870000000.0, 684000000.0]","[3.05, 6.64, 7.91, 1.9]",4.99,55.9541,34.2004,1.6360655737704919,1273374976,[-1],0.8289,"[-8.580932513953881, -11.847055195806352, 10.969634923744229]",31.290636902479857,171.84,"[1.3676207513416816, 1.329666721392218, 2.218324078748107]","[0.11429937828790053, 0.1306267352419098, 0.03846802766998481]",[-1],"[396534.76414039795, 362508.3836351442, 319561.8153364632]",101.98,10.377623
176,ETSY,Consumer Cyclical,10064288768,"[2566111000.0, 2329114000.0, 1725625000.0, 818379000.0]","[-694288000.0, 493507000.0, 349246000.0, 95894000.0]","[-5.55, -5.48, 3.88, 2.88, 0.8]",2.82,-1.0,28.932623,-0.5081081081081081,542729728,[-1],0.0,"[-9.235648808644676, -25.910668176826036, -52.57492212966317, 226.43346322425185]",18.846116791302798,82.92,"[-4.367227385185483, 3.7989927125969785, 1.5029349805501977, 2.08298371508531]","[-0.2634908068848078, 0.12879217100852364, 0.14524749333434256, 0.062173874705644366]","[-23.828396883687407, 5.80364324858292, 8.933493630736175, 1.0733241552220096]","[919753.046594982, 834807.8853046595, 618503.5842293907, 293325.8064516129]",2.14,-1.0
177,EG,Financial Services,15425420288,"[11985000000.0, 11300998000.0, 9485261000.0, 8231169000.0]","[597000000.0, 1379083000.0, 514151000.0, 1009461000.0]","[16.91, 15.19, 34.66, 12.81, 24.77]",58.92,21.011236,6.0302105,3.4843287995269074,-398134496,[-1],0.2181,"[-5.70715060492282, -16.06705000744182, -13.22148120120258, 62.247919827669676]",-39.5075712304015,362.3,"[0.3653595545551475, 0.3046177304279044, 0.19641758487611163, 0.0694007670050942]","[0.014937697042486113, 0.036115563160812506, 0.015680901607848175, 0.03694404610795083]","[0.02447925209119239, 0.05448225476747334, 0.02270247051764402, 0.055535276495765264]","[4936161.449752883, 4654447.281713344, 3906614.909390445, 3390102.55354201]",0.24,1.414422
178,EVRG,Utilities,13160720384,"[5859100000.0, 5586700000.0, 4913400000.0, 5147800000.0]","[752700000.0, 879700000.0, 618300000.0, 669900000.0]","[3.39, 3.27, 3.84, 2.72, 2.8]",3.96,16.902655,14.469697,1.168141592920354,-518024992,[-1],0.7054,"[-4.649178201430254, -12.051837399538188, 4.770627264216225, 15.23369703562687]",-25.884419709541735,58.38,"[1.269135464006664, 1.2078122971745056, 1.1817963221654797, 1.160746158961257]","[0.025523992960301663, 0.03084448028610999, 0.02280304483160488, 0.025789289302776804]","[1.1521506199295883, 1.1443996357486665, 0.9481674589786843, 1.168702023726448]","[1298559.3971631206, 1238187.0567375887, 1088962.7659574468, 1140913.1205673758]",6.02,1.3869056
