,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
280,KR,Consumer Defensive,35521249280,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.48,-1.0,-1.0,-1.0,-1.0,4.51,14.221265,10.9733925,-1,3468999936,0.25107,-1.0,-1.0,-1.0,-1.0,0.2845,10.22100094083138,49.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.37,3.2584937
281,LHX,Industrials,35323510784,17062000000.0,17814000000.0,18194000000.0,12856000000.0,1062000000.0,1846000000.0,1119000000.0,1333000000.0,4.23,5.54,9.17,5.23,8.04,13.42,44.078014,13.893442,-1,1890249984,0.042729996,0.0573341251417157,0.09555360008282002,0.05369224125521808,0.05861917326297274,1.0686,18.559928768955885,185.18,0.42034227716892514,0.4052487188777887,0.3671608847943957,0.03167879727956091,0.05318505286813219,0.030275974025974026,0.03598909257809336,-1.0,-1.0,-1.0,-1.0,13.18,1.9131122
282,LH,Healthcare,19069378560,14876800000.0,16120900000.0,13978500000.0,11554800000.0,1279100000.0,2377300000.0,1556100000.0,823800000.0,11.13,14.05,24.6,15.99,8.42,14.98,19.337826,14.367824,-1,1359000064,0.09942,0.12668621119980983,0.23141469302728537,0.16625532869643259,0.10886745077309369,0.32209998,14.033874247117032,215.26,0.6234673058257235,0.6174108576935432,0.7218607433998953,0.06346284563212289,0.11661777546675561,0.07752706547028901,0.045712319797573994,19.468797564687975,39.03612479474548,21.17142857142857,9.703180212014134,-3.23,2.1763487
283,LRCX,Technology,92756402176,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.96,-1.0,-1.0,-1.0,-1.0,35.73,19.200779,19.324379,-1,3884028928,0.62269,-1.0,-1.0,-1.0,-1.0,0.2078,23.98179419532892,693.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.02,11.210041
284,LW,Consumer Defensive,14853065728,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.95,-1.0,-1.0,-1.0,-1.0,5.88,14.667626,17.336735,-1,-133100000,1.1388401,-1.0,-1.0,-1.0,-1.0,0.1511,-111.88884928625093,102.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.53,10.52121
285,LVS,Consumer Cyclical,44292055040,4110000000.0,4234000000.0,3612000000.0,13739000000.0,1832000000.0,-961000000.0,-1685000000.0,2698000000.0,0.07,2.4,-1.26,-2.21,3.5,3.05,827.71423,18.996721,-1,246124992,-0.032479998,0.4720432878124195,-0.4814629258517034,-0.5667675748402288,0.5201465201465202,0.0,180.36135028628055,58.07,4.116980159752641,7.412324649298597,4.711402623612512,0.08312536866463996,-0.04790866942519567,-0.08098236170519536,0.1162981162981163,-1.0,-1.0,-1.0,-1.0,0.52,10.2223
286,LDOS,Technology,13321439232,14396000000.0,13737000000.0,12297000000.0,11094000000.0,685000000.0,753000000.0,628000000.0,667000000.0,4.88,5.0,5.34,4.42,4.66,7.36,19.897541,13.192934,-1,671249984,0.16487,0.15933938125145383,0.17548357026334188,0.16261004660797515,0.19542924113682977,0.2802,20.111420088763833,98.4,1.2770411723656665,1.320205080400839,1.37441740031072,0.052406089817152474,0.056783048035593094,0.05019582767164895,0.07120743034055728,38.05555555555556,30.12,41.86666666666667,35.10526315789474,1.88,2.8937564
287,LEN,Consumer Cyclical,35690762240,33671010000.0,27130676000.0,22488854000.0,22259561000.0,4614125000.0,4430111000.0,2465036000.0,1849052000.0,14.63,15.74,14.28,7.88,5.76,13.57,8.583049,9.253501,-1,4323740672,0.18290001,0.19145349681541876,0.21281805113029734,0.1369855918824802,0.11593153573239867,0.1025,7.198100464356434,122.64,0.16793402626501525,0.22349361141502444,0.3309700283236498,0.12147454625655156,0.13340582438246848,0.08234579671935796,0.06297965930018384,3.933060509869038,4.557333522617387,2.586126186427075,0.8335374668837079,16.22,1.4427861
288,LNC,Financial Services,4564528640,18925000000.0,19230000000.0,17439000000.0,17258000000.0,1358000000.0,1405000000.0,499000000.0,886000000.0,-26.87,-13.11,10.07,2.58,4.41,7.84,-1.0,3.4336734,-1,-6432374784,-0.65729,0.2661701293610349,0.06930741910023679,0.021983347284021324,0.04499974605109452,-1.0,-0.7383506051129995,28.01,1.2651901215209722,0.3268054459352802,0.2943742015066743,0.004063228381560483,0.0036276694354003733,0.0013635966158756531,0.0026466643366461445,0.013100394555329391,0.011372282388745892,0.00390839168507292,0.00805630319342402,0.51,0.9448598
289,LIN,Basic Materials,184979537920,33364000000.0,30793000000.0,27243000000.0,28228000000.0,4147000000.0,3826000000.0,2501000000.0,2285000000.0,8.99,8.3,7.4,4.75,4.22,15.27,42.0267,24.742632,-1,4959000064,0.14158,0.10360247826521435,0.0868854320426933,0.05285626730350614,0.046562334433712355,0.42740002,37.59105712808476,380.75,0.4475367242929949,0.3226297263540366,0.3413994970095315,0.05206005674257451,0.0468843820844311,0.028346688730462772,0.026382025585369232,1.6365430149960536,1.4508911642017444,1.2000959692898272,1.1054668601838413,2.31,4.6191654
