,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
4110,PLYA,Consumer Cyclical,1100810880,856263000.0,534639000.0,273189000.0,636477000.0,56706000.0,-89682000.0,-262370000.0,-4357000.0,0.35,0.34,-0.55,-1.98,-0.03,0.5,20.657143,14.46,41.31428571428572,68618128,0.06748,0.08528987970435971,-0.14216418265343972,-0.46180844023262035,-0.005381330968528416,0.0,16.1535109206127,7.28,1.6025175149128692,1.8060519883202237,2.2024075221425856,0.027396585210308144,-0.04358623934182747,-0.1250771691380654,-0.0019831913495168786,-1.0,-1.0,-1.0,-1.0,-0.11,1.6236244
4111,PLYM,Real Estate,970522752,183536000.0,140618000.0,109851000.0,75290000.0,-16886000.0,-15008000.0,-13813000.0,-10420000.0,-0.56,-0.67,-0.94,-1.52,-2.88,-0.19,-1.0,-117.368416,209.5864571428571,90191504,-0.027290002,-0.032608779613622844,-0.03009551234361182,-0.0413007663350765,-0.0440297813722756,-1.0,10.749196254671617,22.53,1.7701048208313057,1.383940370458752,1.5558994046924943,-0.011099586016861694,-0.011809837071777338,-0.015009725406674128,-0.015201004841855574,-1.0,-1.0,-1.0,-1.0,-1.0,2.1479483
4112,PM,Consumer Defensive,146884673536,31762000000.0,31405000000.0,28694000000.0,29805000000.0,9048000000.0,9109000000.0,8056000000.0,7185000000.0,5.17,5.82,5.83,5.16,4.61,6.87,18.303675,13.774382,2.6642905222437134,6046875136,-1.0,-1.0101596516690856,-0.9013457352068078,-0.6410440041378213,-0.6206271054677378,0.9828,24.60417331587513,95.85,-4.814446801384392,-2.7514347912131405,-2.5094294581045595,0.14669022875764012,0.22061031726810365,0.17976124065603036,0.1675801749271137,2.041976980365606,2.04100380909702,1.6790329303876614,1.5501618122977345,1.68,-1.0
4113,PMCB,Healthcare,20812360,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.27,-1.0,-1.0,-1.0,-1.0,-0.38,-1.0,-6.289474,23.29434814814815,-3518298,-0.05308,-1.0,-1.0,-1.0,-1.0,0.0,-6.039216689433356,2.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.55221814
4114,PMD,Healthcare,26129560,25240000.0,24909000.0,21360000.0,37678000.0,-1084000.0,-665000.0,-3859000.0,1542000.0,-0.27,-0.190811,-0.12,-0.7,0.2795,-1.0,-1.0,-1.0,-1.0,-1,-0.17994,-0.10064060904280012,-0.05431675242995998,-0.30842391304347827,0.09167657550535077,-1.0,-1.0,4.82,0.3318169157924055,0.4187699093359471,0.7114769820971867,-0.05786888746530002,-0.030855605048255384,-0.16077157022038913,0.05600958919036722,-1.0,-1.0,-1.0,-1.0,-1.0,2.8634362
4115,PMN,Healthcare,18874416,0.0,8138.695864,1401.392766,920.177299,-18062263.0,-9242533.450456,-4440534.521158,-5662121.154126,-2.55,-2.41,-1.69,-0.941058,-1.377969,-1.82,-1.0,-1.2087913,0.47403580392156863,-8460286,-1.0,13.40157163080996,-1.5762010318510402,5.573653856945839,-18.577917266344528,0.0,-2.433756021959541,2.4,,0.6612013401517082,,-2.608402364539646,-0.524683639240364,-4.088762314360004,-3.5668033668359724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4116,PMT,Real Estate,1104086144,103106000.0,82840000.0,108632000.0,223211000.0,-73287000.0,56854000.0,52373000.0,226357000.0,-0.44,-1.26,0.26,0.27,2.54,1.41,-1.0,8.943262,-20.325595454545457,-1,0.05092,-0.03733770120974213,0.024014178561683586,0.02280200917862176,0.09235612006128323,2.8525,-1.0,12.75,2.4277565639145817,1.8983623355767516,0.9897742961148246,-0.0052642792146054855,0.004128018977821936,0.004547709837825297,0.019229483514678986,-0.015543794189958922,0.020055969326579576,0.022369989625053977,0.07445998035514684,2.47,0.7870919
4117,PMTS,Financial Services,257786352,475745000.0,375119000.0,312189000.0,278073000.0,36540000.0,15941000.0,16129000.0,-4454000.0,3.66,3.24,1.42,1.44,-0.46,3.84,6.163934,5.875,1.605191256830601,23689876,-1.0,-0.4451917102233269,-0.13172202941662536,-0.1168454834573339,0.029219011381900483,0.0,11.021589771090403,22.85,-3.4787090171424393,-2.5088910923814245,-2.4392590392431015,0.12316881610969913,0.05945028716342209,0.060600937062043725,-0.020863097050405878,-1.0,-1.0,-1.0,-1.0,0.51,-1.0
4118,PMVP,Healthcare,356133408,0.0,0.0,0.0,0.0,-73317000.0,-57846000.0,-34440000.0,-25352000.0,-1.65,-1.61,-1.28,-2.4,-0.811672,-2.0,-1.0,-3.89,2.357575757575758,-41937876,-0.29968,-0.2980026663631782,-0.18747143982188172,-0.09590082451318636,0.35973550529273207,0.0,-8.895784922440994,8.15,0.05680654234477377,0.03627507219040767,,-0.2712350355890318,-0.17446195048979396,-0.09421909496048214,-0.2460570885056244,-29.38557114228457,-3.4206138016675536,,,-0.2,1.6483052
4119,PNAC,Financial Services,76151664,0.0,-1.0,-1.0,-1.0,141931.0,-1.0,-1.0,-1.0,0.05,0.93,-1.0,-1.0,-1.0,-1.0,179.998,-1.0,-1.0,-65061468,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0014022892935648,7.7,,14.803535930296494,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
